state_id,policy_id,n_evac_vehicles,n_evac_arrived,arrival_rate,tt_mean,tt_median,tt_p90,tt_max,tt_min,depart_mean,arrive_mean,arrive_p90,links_mean,links_p90,maxseq_mean,maxseq_p90,src_file
0,0,7000.0,1426.0,0.2037142857142857,1826.227910238429,1802.0,2749.5,5601.0,89.0,47091.284011220196,48917.51192145862,50093.5,23.758064516129032,35.0,22.887096774193548,34.0,evac-only_sorted_2026shelterseek_0_0_trajectory.csv
0,1,7000.0,1405.0,0.2007142857142857,2063.4832740213524,2151.0,2945.2000000000007,4494.0,123.0,47095.928113879,49159.411387900356,50188.2,20.592170818505338,31.0,19.770818505338077,30.0,evac-only_sorted_2026shelterseek_0_1_trajectory.csv
0,2,7000.0,1165.0,0.16642857142857143,2003.6197424892705,2088.0,2783.6000000000004,5612.0,54.0,47138.6660944206,49142.28583690987,50225.6,25.008583690987123,49.0,24.071244635193132,48.0,evac-only_sorted_2026shelterseek_0_2_trajectory.csv
0,3,7000.0,1665.0,0.23785714285714285,1908.195795795796,1940.0,2815.000000000001,3702.0,73.0,47102.23243243243,49010.42822822823,50072.0,18.026426426426426,26.600000000000136,17.092492492492493,25.600000000000136,evac-only_sorted_2026shelterseek_0_3_trajectory.csv
0,4,7000.0,1476.0,0.21085714285714285,2019.7743902439024,2073.5,2921.0,4858.0,108.0,47093.431571815716,49113.20596205962,50191.5,20.99390243902439,31.0,20.048780487804876,30.0,evac-only_sorted_2026shelterseek_0_4_trajectory.csv
0,5,7000.0,1352.0,0.19314285714285714,1584.3831360946745,1421.5,2697.0,4933.0,77.0,47071.33949704142,48655.722633136094,49895.9,18.827662721893493,22.0,17.86612426035503,21.0,evac-only_sorted_2026shelterseek_0_5_trajectory.csv
0,6,7000.0,1086.0,0.15514285714285714,1755.5699815837938,1744.0,2563.5,4749.0,83.0,47131.10036832413,48886.670349907916,50008.0,23.03499079189687,31.0,22.12523020257827,31.0,evac-only_sorted_2026shelterseek_0_6_trajectory.csv
0,7,7000.0,1619.0,0.2312857142857143,1955.7813465101915,1993.0,2907.4,5351.0,106.0,46994.20753551575,48949.988882025944,50066.4,18.52316244595429,29.0,17.70166769610871,28.0,evac-only_sorted_2026shelterseek_0_7_trajectory.csv
0,8,7000.0,1118.0,0.15971428571428573,1888.545617173524,1800.0,2985.9,4835.0,57.0,46966.59123434705,48855.136851520576,50148.6,23.935599284436492,32.0,22.955277280858677,31.0,evac-only_sorted_2026shelterseek_0_8_trajectory.csv
0,9,7000.0,1523.0,0.21757142857142858,2094.945502298096,2162.0,2945.0,5307.0,60.0,47054.644780039394,49149.59028233749,50192.8,23.564018384766907,41.0,22.82403151674327,40.0,evac-only_sorted_2026shelterseek_0_9_trajectory.csv
0,10,7000.0,1752.0,0.2502857142857143,1743.5336757990867,1609.5,2748.9,4665.0,132.0,47134.35673515982,48877.890410958906,50021.9,23.49486301369863,38.0,22.694634703196346,37.0,evac-only_sorted_2026shelterseek_0_10_trajectory.csv
0,11,7000.0,1334.0,0.19057142857142856,1934.3088455772113,1905.5,2882.0,4558.0,82.0,47069.511994003,49003.82083958021,50190.7,23.097451274362818,30.0,22.278110944527736,30.0,evac-only_sorted_2026shelterseek_0_11_trajectory.csv
0,12,7000.0,1551.0,0.22157142857142856,1594.5519019987105,1450.0,2658.0,4677.0,59.0,47101.49774339136,48696.04964539007,49897.0,16.62991618310767,22.0,15.67311411992263,21.0,evac-only_sorted_2026shelterseek_0_12_trajectory.csv
0,13,7000.0,1781.0,0.25442857142857145,1826.948905109489,1736.0,2852.0,5343.0,109.0,47088.194834362715,48915.14373947221,50107.0,18.94329028635598,29.0,18.040426726558113,29.0,evac-only_sorted_2026shelterseek_0_13_trajectory.csv
0,14,7000.0,1710.0,0.24428571428571427,1969.9865497076023,1974.0,2879.1000000000004,4144.0,132.0,47069.066666666666,49039.05321637427,50099.2,22.76374269005848,31.0,22.000584795321636,30.0,evac-only_sorted_2026shelterseek_0_14_trajectory.csv
0,15,7000.0,1110.0,0.15857142857142856,1900.0324324324324,1790.0,2857.2,5093.0,68.0,47110.18108108108,49010.21351351351,50157.0,20.677477477477478,33.0,19.83153153153153,33.0,evac-only_sorted_2026shelterseek_0_15_trajectory.csv
0,16,7000.0,1301.0,0.18585714285714286,2052.1029976940813,2102.0,2921.0,5598.0,63.0,47094.34819369716,49146.451191391236,50256.0,22.578016910069177,34.0,21.769408147578787,33.0,evac-only_sorted_2026shelterseek_0_16_trajectory.csv
0,17,7000.0,1169.0,0.167,1701.6150556030796,1611.0,2676.6000000000004,4448.0,82.0,47146.60307955518,48848.218135158255,50140.6,24.488451668092388,45.0,23.72284003421728,44.0,evac-only_sorted_2026shelterseek_0_17_trajectory.csv
0,18,7000.0,1158.0,0.16542857142857142,1598.0034542314336,1422.5,2673.6,4842.0,44.0,47105.265112262525,48703.268566493956,49953.2,18.673575129533678,31.0,17.686528497409327,30.0,evac-only_sorted_2026shelterseek_0_18_trajectory.csv
0,19,7000.0,1392.0,0.19885714285714284,1863.2931034482758,1870.5,2827.5000000000005,3512.0,122.0,47056.90301724138,48920.19612068965,50122.9,22.40014367816092,34.0,21.494971264367816,33.0,evac-only_sorted_2026shelterseek_0_19_trajectory.csv
0,20,7000.0,927.0,0.13242857142857142,1974.4573894282632,1876.0,3094.2,3774.0,76.0,46951.94390507012,48926.401294498384,50246.8,23.761596548004317,39.0,22.889967637540455,39.39999999999998,evac-only_sorted_2026shelterseek_0_20_trajectory.csv
