policy_id,family,note,shelter0,shelter1,shelter2,shelter3,shelter4,shelter5,sum,min,max
0,uniform,equal share,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.9999999999999999,0.16666666666666666,0.16666666666666666
1,uniform,equal share,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.9999999999999999,0.16666666666666666,0.16666666666666666
2,uniform,equal share,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.9999999999999999,0.16666666666666666,0.16666666666666666
3,uniform,equal share,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.9999999999999999,0.16666666666666666,0.16666666666666666
4,uniform,equal share,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.9999999999999999,0.16666666666666666,0.16666666666666666
5,single_dominant,shelter0=0.6,0.6,0.08,0.08,0.08,0.08,0.08,0.9999999999999998,0.08,0.6
6,single_dominant,shelter1=0.6,0.08,0.6,0.08,0.08,0.08,0.08,0.9999999999999998,0.08,0.6
7,single_dominant,shelter2=0.6,0.08,0.08,0.6,0.08,0.08,0.08,0.9999999999999999,0.08,0.6
8,single_dominant,shelter3=0.6,0.08,0.08,0.08,0.6,0.08,0.08,0.9999999999999999,0.08,0.6
9,single_dominant,shelter4=0.6,0.08,0.08,0.08,0.08,0.6,0.08,0.9999999999999999,0.08,0.6
10,single_dominant,shelter5=0.6,0.08,0.08,0.08,0.08,0.08,0.6,1.0,0.08,0.6
11,single_dominant,shelter0=0.7,0.7,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,1.0000000000000002,0.06000000000000001,0.7
12,single_dominant,shelter1=0.7,0.06000000000000001,0.7,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,1.0000000000000002,0.06000000000000001,0.7
13,single_dominant,shelter2=0.7,0.06000000000000001,0.06000000000000001,0.7,0.06000000000000001,0.06000000000000001,0.06000000000000001,1.0,0.06000000000000001,0.7
14,single_dominant,shelter3=0.7,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.7,0.06000000000000001,0.06000000000000001,1.0,0.06000000000000001,0.7
15,single_dominant,shelter4=0.7,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.7,0.06000000000000001,1.0,0.06000000000000001,0.7
16,single_dominant,shelter5=0.7,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.7,1.0,0.06000000000000001,0.7
17,dual_dominant,"shelter0,1=0.35",0.35,0.35,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.9999999999999998,0.07500000000000001,0.35
18,dual_dominant,"shelter0,2=0.35",0.35,0.07500000000000001,0.35,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.9999999999999998,0.07500000000000001,0.35
19,dual_dominant,"shelter0,3=0.35",0.35,0.07500000000000001,0.07500000000000001,0.35,0.07500000000000001,0.07500000000000001,1.0,0.07500000000000001,0.35
20,dual_dominant,"shelter0,4=0.35",0.35,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.35,0.07500000000000001,1.0,0.07500000000000001,0.35
21,dual_dominant,"shelter0,5=0.35",0.35,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.35,0.9999999999999999,0.07500000000000001,0.35
22,dual_dominant,"shelter1,2=0.35",0.07500000000000001,0.35,0.35,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.9999999999999998,0.07500000000000001,0.35
23,dual_dominant,"shelter1,3=0.35",0.07500000000000001,0.35,0.07500000000000001,0.35,0.07500000000000001,0.07500000000000001,1.0,0.07500000000000001,0.35
24,dual_dominant,"shelter1,4=0.35",0.07500000000000001,0.35,0.07500000000000001,0.07500000000000001,0.35,0.07500000000000001,1.0,0.07500000000000001,0.35
25,dual_dominant,"shelter1,5=0.35",0.07500000000000001,0.35,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.35,0.9999999999999999,0.07500000000000001,0.35
26,dual_dominant,"shelter2,3=0.35",0.07500000000000001,0.07500000000000001,0.35,0.35,0.07500000000000001,0.07500000000000001,1.0,0.07500000000000001,0.35
27,dual_dominant,"shelter2,4=0.35",0.07500000000000001,0.07500000000000001,0.35,0.07500000000000001,0.35,0.07500000000000001,1.0,0.07500000000000001,0.35
28,dual_dominant,"shelter2,5=0.35",0.07500000000000001,0.07500000000000001,0.35,0.07500000000000001,0.07500000000000001,0.35,0.9999999999999999,0.07500000000000001,0.35
29,dual_dominant,"shelter3,4=0.35",0.07500000000000001,0.07500000000000001,0.07500000000000001,0.35,0.35,0.07500000000000001,1.0,0.07500000000000001,0.35
30,dual_dominant,"shelter3,5=0.35",0.07500000000000001,0.07500000000000001,0.07500000000000001,0.35,0.07500000000000001,0.35,0.9999999999999999,0.07500000000000001,0.35
31,dual_dominant,"shelter4,5=0.35",0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.35,0.35,1.0,0.07500000000000001,0.35
32,dual_dominant,"shelter0,1=0.40",0.4,0.4,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,1.0000000000000002,0.04999999999999999,0.4
33,dual_dominant,"shelter2,3=0.40",0.04999999999999999,0.04999999999999999,0.4,0.4,0.04999999999999999,0.04999999999999999,1.0,0.04999999999999999,0.4
